* FICHERO IMPORTACION PRE-CARGA Y SIMULACION DE PLANIFICACION
* FORMATO FICHERO  : ;columna_1= COD_ARTICULO | columna_2 = UNIDADES
* INSTRUCCIONES USO: ;"1-Rellenar documento. 2-Eliminar cabecera (Importante dejar solo datos). 3-Guardar archivo como CSV (DOS) =  campos separados por ;"
* EJEMPLO FICHERO  : ;
COD_ARTICULO;UNIDADES
5402080;0
5402081;2
5402086;3
5402180;4
5402185;3
5402208;30
5402209;200
5407001;6
5407002;3
5407003;19
5407011;9
5407012;1
5407013;16
5407021;44
5407022;42
5409086;13
5409104;82
5409207;253
5505257;40
5508207;149
5509207;64
5510207;12
